Date;Open;High;Low;Close;Buy
12/16/2022;95000000;97000000;92000000;96000000;Yes
12/19/2022;95000000;95000000;91000000;92000000;No
12/20/2022;92000000;94000000;87000000;87000000;No
12/21/2022;89000000;89000000;84000000;89000000;No
12/22/2022;90000000;90000000;87000000;89000000;No
12/23/2022;89000000;89000000;86000000;86000000;No
12/26/2022;86000000;87000000;81000000;82000000;No
12/27/2022;82000000;91000000;82000000;91000000;Yes
12/28/2022;91000000;92000000;89000000;91000000;No
12/29/2022;91000000;99000000;90000000;97000000;Yes
12/30/2022;97000000;97000000;91000000;91000000;No
01/02/2023;91000000;94000000;91000000;93000000;Yes
01/03/2023;93000000;97000000;93000000;95000000;Yes
01/04/2023;95000000;97000000;93000000;96000000;Yes
01/05/2023;96000000;96000000;91000000;92000000;No
01/06/2023;92000000;95000000;91000000;95000000;Yes
01/09/2023;95000000;96000000;91000000;93000000;No
01/10/2023;93000000;96000000;92000000;95000000;Yes
01/11/2023;95000000;96000000;93000000;94000000;No
01/12/2023;95000000;98000000;93000000;97000000;Yes
1/13/2023;97000000;107000000;96000000;105000000;Yes
1/16/2023;105000000;107000000;103000000;107000000;Yes
1/17/2023;108000000;117000000;107000000;114000000;Yes
1/18/2023;115000000;118000000;111000000;114000000;No
1/19/2023;113000000;116000000;111000000;115000000;Yes
1/20/2023;116000000;118000000;111000000;114000000;No
1/24/2023;115000000;120000000;113000000;119000000;Yes
1/25/2023;119000000;121000000;114000000;117000000;No
1/26/2023;115000000;117000000;114000000;115000000;No
1/27/2023;115000000;118000000;115000000;117000000;Yes
1/30/2023;117000000;117000000;112000000;113000000;No
1/31/2023;111000000;113000000;109000000;112000000;Yes
02/01/2023;112000000;115000000;111000000;113000000;Yes
02/02/2023;115000000;125000000;114000000;124000000;Yes
02/03/2023;125000000;128000000;122000000;124000000;No
02/06/2023;124000000;124000000;120000000;120000000;No
02/07/2023;120000000;127000000;120000000;123000000;Yes
02/08/2023;124000000;125000000;119000000;120000000;No
02/09/2023;121000000;123000000;112000000;112000000;No
02/10/2023;105000000;105000000;105000000;105000000;No
2/13/2023;102000000;117000000;102000000;116000000;Yes
2/14/2023;118000000;122000000;117000000;119000000;Yes
2/15/2023;120000000;120000000;115000000;118000000;No
2/16/2023;121000000;122000000;118000000;121000000;No
2/17/2023;122000000;127000000;122000000;125000000;Yes
2/20/2023;127000000;128000000;120000000;122000000;No
2/21/2023;122000000;123000000;120000000;121000000;No
2/22/2023;119000000;120000000;113000000;116000000;No
2/23/2023;118000000;119000000;115000000;116000000;No
2/24/2023;118000000;122000000;116000000;120000000;Yes
2/27/2023;120000000;122000000;117000000;118000000;No
2/28/2023;118000000;119000000;114000000;118000000;No
03/01/2023;119000000;123000000;118000000;122000000;Yes
03/02/2023;122000000;125000000;120000000;121000000;No
03/03/2023;123000000;124000000;122000000;124000000;Yes
03/06/2023;125000000;129000000;124000000;128000000;Yes
03/07/2023;129000000;132000000;128000000;129000000;No
03/08/2023;129000000;131000000;126000000;130000000;Yes
03/09/2023;131000000;132000000;128000000;129000000;No
03/10/2023;128000000;129000000;123000000;125000000;No
3/13/2023;124000000;129000000;121000000;126000000;Yes
3/14/2023;126000000;127000000;118000000;121000000;No
3/15/2023;124000000;125000000;119000000;121000000;No
3/16/2023;121000000;121000000;116000000;117000000;No
3/17/2023;119000000;121000000;113000000;116000000;No
3/20/2023;115000000;116000000;108000000;108000000;No
3/21/2023;105000000;111000000;103000000;110000000;Yes
